School_Name,School_Year,Reported,Reported_enrollment,Percent_complete_for_all_immunizations,Percent_conditional,Percent_out_of_compliance,Percent_with_any_exemption,Percent_with_medical_exemption,Percent_with_personal_exemption,Percent_with_religious_exemption,Percent_with_religious_membership_exemption,Percent_complete_for_diphtheria_tetanus,Percent_complete_for_pertussis,Percent_complete_for_measles_mumps_rubella,Percent_complete_for_polio,Percent_complete_for_HepatitisB,Percent_complete_for_varicella,Number_complete_for_all_immunizations,Number_conditional,Number_out_of_compliance,Number_with_any_exemption,Number_with_medical_exemption,Number_with_personal_exemption,Number_with_religious_exemption,Number_with_religious_membership_exemption,Number_incomplete_for_diphtheria_tetanus,Number_incomplete_for_pertussis,Number_incomplete_for_measles_mumps_rubella,Number_incomplete_for_polio,Number_incomplete_for_HepatitisB,Number_incomplete_for_varicella,School_Type,School_District,County,ESD,Grade_Levels,Has_kindergarten,Has_6thGrade,Location 1
ELK PLAIN SCHOOL OF CHOICE,2016-17,Y,69,44.9%,1.4%,52.2%,1.4%,1.4%,0%,0%,0%,60.9%,59.4%,66.7%,63.8%,84.1%,63.8%,31,1,36,1,1,0,0,0,27,28,23,25,11,25,PUBLIC SCHOOL,BETHEL SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -6,1,1,"22015 22ND AVE E
SPANAWAY
(47.056538, -122.400259)"
BROWNS POINT ELEMENTARY SCHOOL,2016-17,Y,63,90.5%,0%,7.9%,1.6%,0%,1.6%,0%,0%,95.2%,98.4%,93.7%,95.2%,93.7%,95.2%,57,0,5,1,0,1,0,0,3,1,4,3,4,3,PUBLIC SCHOOL,TACOMA SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -5,1,0,"1526 51ST ST NE
TACOMA
(47.302932, -122.426869)"
GRANITE FALLS HIGH SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,GRANITE FALLS SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,0,0,"1401 100TH ST NE
GRANITE FALLS
(48.086628, -121.988178)"
GARFIELD ELEMENTARY,2016-17,Y,69,88.4%,5.8%,0%,5.8%,2.9%,1.4%,1.4%,0%,94.2%,94.2%,92.8%,92.8%,94.2%,88.4%,61,4,0,4,2,1,1,0,4,4,5,5,4,8,PUBLIC SCHOOL,SPOKANE SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,PK-6,1,1,"222 W KNOX AVE
SPOKANE
(47.676725, -117.414652)"
EASTMONT JUNIOR HIGH,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,EASTMONT SCHOOL DISTRICT,DOUGLAS,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,8-9,0,0,"905 NE 8TH STREET
EAST WENATCHEE
(47.416756, -120.273051)"
CAMAS ELEMENTARY,2016-17,Y,95,69.5%,1.1%,28.4%,1.1%,1.1%,0%,0%,0%,75.8%,75.8%,78.9%,76.8%,88.4%,74.7%,66,1,27,1,1,0,0,0,23,23,20,22,11,24,PUBLIC SCHOOL,WAPATO SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -5,1,0,"1010 S CAMAS AVE
WAPATO
(46.437263, -120.417343)"
CASCADE MIDDLE SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,LONGVIEW SCHOOL DISTRICT,COWLITZ,EDUCATIONAL SERVICE DISTRICT 112,6-8,0,1,"2821 PARKVIEW DRIVE
LONGVIEW
(46.155922, -122.941277)"
EVERGREEN MIDDLE SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,LAKE WASHINGTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,0,1,"6900 208TH AVE NE
REDMOND
(47.668769, -122.06276)"
AUBURN RIVERSIDE HIGH SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,AUBURN SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,0,0,"501 ORAVETZ RD SE
AUBURN
(47.270317, -122.218845)"
DESALES CATHOLIC SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRIVATE SCHOOL,WALLA WALLA PUBLIC SCHOOLS,WALLA WALLA,EDUCATIONAL SERVICE DISTRICT 123,9-12,0,0,"919 EAST SUMACH
WALLA WALLA
(46.076285, -118.332065)"
GARDEN HEIGHTS ELEMENTARY,2016-17,Y,93,90.3%,1.1%,0%,8.6%,2.2%,6.5%,0%,0%,92.5%,92.5%,92.5%,92.5%,90.3%,92.5%,84,1,0,8,2,6,0,0,7,7,7,7,9,7,PUBLIC SCHOOL,MOSES LAKE SCHOOL DISTRICT,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,K -5,1,0,"707 E NELSON ROAD
MOSES LAKE
(47.116492, -119.264972)"
CHIEF SEALTH INTERNATIONAL HIGH SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,SEATTLE PUBLIC SCHOOLS,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,0,0,"2600 SW THISTLE
SEATTLE
(47.52828, -122.365838)"
CARL COZIER ELEMENTARY SCHOOL,2016-17,Y,59,76.3%,3.4%,10.2%,10.2%,3.4%,6.8%,0%,0%,84.7%,84.7%,89.8%,84.7%,88.1%,86.4%,45,2,6,6,2,4,0,0,9,9,6,9,7,8,PUBLIC SCHOOL,BELLINGHAM SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,1,0,"1330 LINCOLN ST
BELLINGHAM
(48.745843, -122.462496)"
HILLSIDE ELEMENTARY SCHOOL,2016-17,Y,119,93.3%,0%,2.5%,4.2%,3.4%,0%,0.8%,0%,96.6%,96.6%,98.3%,97.5%,94.1%,98.3%,111,0,3,5,4,0,1,0,4,4,2,3,7,2,PUBLIC SCHOOL,CLOVER PARK SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,1,0,"GARCIA BLVD AND MAGNOLIA BLVD
FORT LEWIS
(47.10532, -122.571987)"
ENDEAVOUR ELEMENTARY SCHOOL,2016-17,Y,130,65.4%,0.8%,30%,3.8%,0.8%,3.1%,0%,0%,74.6%,74.6%,79.2%,72.3%,81.5%,77.7%,85,1,39,5,1,4,0,0,33,33,27,36,24,29,PUBLIC SCHOOL,EVERGREEN SCHOOL DISTRICT (CLARK),CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,1,0,"2701 NE FOUR SEASONS LANE
VANCOUVER
(45.6423, -122.551166)"
GATEWAY CHRISTIAN SCHOOLS,2016-17,Y,17,88.2%,0%,5.9%,5.9%,0%,5.9%,0%,0%,88.2%,88.2%,88.2%,94.1%,94.1%,88.2%,15,0,1,1,0,1,0,0,2,2,2,1,1,2,PRIVATE SCHOOL,NORTH KITSAP SCHOOL DISTRICT,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,P-6,1,1,"705 NE LINCOLN RD
POULSBO
(47.735251, -122.640704)"
FUTURES SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,LAKE WASHINGTON SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,0,0,"10601 NE 132ND
KIRKLAND
(47.719041, -122.19795)"
CEDAR RIVER MONTESSORI SCHOOL,2016-17,Y,18,94.4%,0%,0%,5.6%,0%,5.6%,0%,0%,94.4%,94.4%,94.4%,94.4%,94.4%,94.4%,17,0,0,1,0,1,0,0,1,1,1,1,1,1,PRIVATE SCHOOL,TAHOMA SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-9,1,1,"15828 SE JONES RD
RENTON
(47.465289, -122.127889)"
BESS HERIAN ELEMENTARY,2016-17,Y,19,73.7%,10.5%,10.5%,5.3%,0%,5.3%,0%,0%,84.2%,84.2%,89.5%,84.2%,89.5%,78.9%,14,2,2,1,0,1,0,0,3,3,2,3,2,4,PUBLIC SCHOOL,CUSICK SCHOOL DISTRICT,PEND OREILLE,EDUCATIONAL SERVICE DISTRICT 101,K -6,1,1,"305 MONUMENTAL WAY
CUSICK
(48.337571, -117.298707)"
ENDEAVOUR INTERMEDIATE,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,FIFE SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,2-5,0,0,"1304 17TH AVENUE
MILTON
(47.247742, -122.312216)"
CAN LEARN ACADEMY,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRIVATE SCHOOL,MEAD SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K-12,1,1,"8415 N WALL ST SUITE B291
SPOKANE
(47.734151, -117.422028)"
FOREST PARK ADVENTIST SCHOOL,2016-17,Y,2,100%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,100%,100%,100%,2,0,0,0,0,0,0,0,0,0,0,0,0,0,PRIVATE SCHOOL,EVERETT SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K-8,1,1,"4120 FEDERAL AVE
EVERETT
(47.962981, -122.217543)"
AMISTAD ELEMENTARY SCHOOL,2016-17,Y,75,94.7%,0%,5.3%,0%,0%,0%,0%,0%,96%,96%,97.3%,97.3%,98.7%,96%,71,0,4,0,0,0,0,0,3,3,2,2,1,3,PUBLIC SCHOOL,KENNEWICK SCHOOL DISTRICT,BENTON,EDUCATIONAL SERVICE DISTRICT 123,PK-5,1,0,"930 WEST 4TH AVENUE
KENNEWICK
(46.20573, -119.132069)"
EVERGREEN ELEMENTARY SCHOOL,2016-17,Y,107,92.5%,2.8%,2.8%,1.9%,0.9%,0%,0.9%,0%,95.3%,95.3%,97.2%,94.4%,94.4%,97.2%,99,3,3,2,1,0,1,0,5,5,3,6,6,3,PUBLIC SCHOOL,CLOVER PARK SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,1,0,"9010 BLAINE AVE
FORT LEWIS
(47.109192, -122.565133)"
CANYON VIEW ELEMENTARY SCHOOL,2016-17,Y,77,97.4%,0%,0%,2.6%,0%,2.6%,0%,0%,97.4%,97.4%,97.4%,97.4%,97.4%,97.4%,75,0,0,2,0,2,0,0,2,2,2,2,2,2,PUBLIC SCHOOL,KENNEWICK SCHOOL DISTRICT,BENTON,EDUCATIONAL SERVICE DISTRICT 123,K -5,1,0,"1229 WEST 22ND PLACE
KENNEWICK
(46.188505, -119.135706)"
CLE ELUM ROSLYN ELEMENTARY,2016-17,Y,64,87.5%,6.3%,0%,6.3%,1.6%,4.7%,0%,0%,90.6%,90.6%,95.3%,96.9%,95.3%,93.8%,56,4,0,4,1,3,0,0,6,6,3,2,3,4,PUBLIC SCHOOL,CLE ELUM-ROSLYN SCHOOL DISTRICT,KITTITAS,EDUCATIONAL SERVICE DISTRICT 105,PK-5,1,0,"2696 SR 903
CLE ELUM
(47.210787, -120.984029)"
DISCOVERY DEPOT MONTESSORI SCHOOLHOUSE,2016-17,Y,3,66.7%,0%,33.3%,0%,0%,0%,0%,0%,66.7%,66.7%,66.7%,66.7%,66.7%,66.7%,2,0,1,0,0,0,0,0,1,1,1,1,1,1,PRIVATE SCHOOL,CENTRAL KITSAP SCHOOL DISTRICT,KITSAP,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,P-1,1,0,"5550 TRACYTON BLVD
BREMERTON
(47.613398, -122.655401)"
CEDARHOME ELEMENTARY SCHOOL,2016-17,Y,82,85.4%,3.7%,4.9%,6.1%,1.2%,4.9%,0%,0%,92.7%,92.7%,91.5%,92.7%,91.5%,87.8%,70,3,4,5,1,4,0,0,6,6,7,6,7,10,PUBLIC SCHOOL,STANWOOD-CAMANO SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -5,1,0,"27911 68TH AVE NW
STANWOOD
(48.249565, -122.32492)"
HARBOR HEIGHTS ELEMENTARY SCHOOL,2016-17,Y,102,90.2%,2.9%,0%,6.9%,0%,5.9%,1%,0%,95.1%,95.1%,96.1%,92.2%,95.1%,94.1%,92,3,0,7,0,6,1,0,5,5,4,8,5,6,PUBLIC SCHOOL,PENINSULA SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,1,0,"4002 36TH ST NW
GIG HARBOR
(47.290739, -122.592203)"
HOCKINSON MIDDLE SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,HOCKINSON SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,6-8,0,1,"15916 NE 182ND AVE
BRUSH PRAIRIE
(45.739767, -122.486751)"
ACADEMY OF CONST AND ENGINEERING,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,MARYSVILLE SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,9-12,0,0,"8301 84TH STREET NE
MARYSVILLE
(48.07201, -122.11792)"
COLUMBIA HIGH SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,COLUMBIA (WALLA WALLA) SCHOOL DISTRICT,WALLA WALLA,EDUCATIONAL SERVICE DISTRICT 123,9-12,0,0,"755 MAPLE STREET
BURBANK
(46.200823, -119.00683)"
BETZ ELEMENTARY,2016-17,Y,67,91%,0%,0%,9%,0%,9%,0%,0%,95.5%,95.5%,100%,95.5%,95.5%,94%,61,0,0,6,0,6,0,0,3,3,0,3,3,4,PUBLIC SCHOOL,CHENEY SCHOOL DISTRICT,SPOKANE,EDUCATIONAL SERVICE DISTRICT 101,K -5,1,0,"317 N 7TH
CHENEY
(47.496065, -117.577751)"
CHAMBERS PRAIRIE ELEMENTARY SCHOOL,2016-17,Y,81,86.4%,2.5%,9.9%,1.2%,0%,1.2%,0%,0%,88.9%,88.9%,91.4%,88.9%,92.6%,90.1%,70,2,8,1,0,1,0,0,9,9,7,9,6,8,PUBLIC SCHOOL,NORTH THURSTON PUBLIC SCHOOLS,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,K -6,1,1,"6501 VIRGINIA ST SE
LACEY
(46.990873, -122.804508)"
DAVIS ELEMENTARY,2016-17,Y,108,89.8%,4.6%,1.9%,3.7%,1.9%,0.9%,0.9%,0%,96.3%,96.3%,94.4%,95.4%,96.3%,90.7%,97,5,2,4,2,1,1,0,4,4,6,5,4,10,PUBLIC SCHOOL,COLLEGE PLACE SCHOOL DISTRICT,WALLA WALLA,EDUCATIONAL SERVICE DISTRICT 123,PK-3,1,0,"31 SE ASH STREET
COLLEGE PLACE
(46.048193, -118.387079)"
FORKS ALTERNATIVE SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,QUILLAYUTE VALLEY SCHOOL DISTRICT,CLALLAM,OLYMPIC EDUCATIONAL SERVICE DISTRICT 114,9-12,0,0,"161 EAST E STREET
FORKS
(47.945817, -124.383258)"
FOSTER SENIOR HIGH SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,TUKWILA SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,0,0,"4242 S 144TH ST
TUKWILA
(47.474141, -122.277482)"
HERITAGE CHRISTIAN SCHOOL,2016-17,Y,20,90%,0%,5%,5%,0%,5%,0%,0%,95%,95%,95%,95%,95%,95%,18,0,1,1,0,1,0,0,1,1,1,1,1,1,PRIVATE SCHOOL,UNIVERSITY PLACE SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-8,1,1,"5412 67TH AVE W
UNIVERSITY PLACE
(47.207525, -122.526621)"
BLAINE MIDDLE SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,BLAINE SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,6-8,0,1,"975 H STREET
BLAINE
(48.993989, -122.73885)"
ALL SAINTS SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PRIVATE SCHOOL,PUYALLUP SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,3-8,0,1,"504 2ND ST SW
PUYALLUP
(47.187856, -122.29505)"
ADAMS ELEMENTARY,2016-17,Y,38,97.4%,0%,2.6%,0%,0%,0%,0%,0%,100%,100%,100%,100%,97.4%,100%,37,0,1,0,0,0,0,0,0,0,0,0,1,0,PUBLIC SCHOOL,WAPATO SCHOOL DISTRICT,YAKIMA,EDUCATIONAL SERVICE DISTRICT 105,K -5,1,0,"1309 S CAMAS AVE
WAPATO
(46.433442, -120.417392)"
CAREER ACADEMY AT TRUMAN HIGH SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,FEDERAL WAY SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,9-12,0,0,"31455 28TH AVE S
FEDERAL WAY
(47.317773, -122.298348)"
HARBOR RIDGE MIDDLE SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,PENINSULA SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,6-8,0,1,"9010 PRENTICE AVE
GIG HARBOR
(47.339919, -122.592346)"
EXPLORER MIDDLE SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,MUKILTEO SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,6-8,0,1,"9600 SHARON DRIVE
EVERETT
(47.910648, -122.245751)"
CENTRALIA HIGH SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,CENTRALIA SCHOOL DISTRICT,LEWIS,EDUCATIONAL SERVICE DISTRICT 113,9-12,0,0,"813 ESHOM ROAD
CENTRALIA
(46.726474, -122.999714)"
BIRNEY ELEMENTARY SCHOOL,2016-17,Y,58,75.9%,0%,17.2%,6.9%,3.4%,3.4%,0%,0%,81%,98.3%,81%,79.3%,91.4%,82.8%,44,0,10,4,2,2,0,0,11,1,11,12,5,10,PUBLIC SCHOOL,TACOMA SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,1,0,"1202 S 76TH ST
TACOMA
(47.188299, -122.451207)"
ETON SCHOOL,2016-17,Y,30,93.3%,6.7%,0%,0%,0%,0%,0%,0%,93.3%,100%,96.7%,96.7%,100%,93.3%,28,2,0,0,0,0,0,0,2,0,1,1,0,2,PRIVATE SCHOOL,BELLEVUE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,P-8,1,1,"2701 BEL-RED RD
BELLEVUE
(47.634917, -122.128568)"
GREEN DOT DESTINY MIDDLE SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,GREEN DOT PUBLIC SCHOOLS WASHINGTON STATE CHARTER DISTRICT,KING,OFFICE OF SUPERINTENDENT OF PUBLIC INSTRUCTION,6-8,0,1,"210 S. HUDSON STREET
SEATTLE
(47.557393, -122.331643)"
CHIEF MOSES MIDDLE SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,MOSES LAKE SCHOOL DISTRICT,GRANT,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,6-8,0,1,"1111 E NELSON ROAD
MOSES LAKE
(47.116467, -119.258674)"
CHRISTENSEN ELEMENTARY,2016-17,Y,85,91.8%,3.5%,0%,4.7%,0%,4.7%,0%,0%,95.3%,95.3%,91.8%,94.1%,96.5%,91.8%,78,3,0,4,0,4,0,0,4,4,7,5,3,7,PUBLIC SCHOOL,FRANKLIN PIERCE SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,PK-5,1,0,"10232 BARNES LANE
TACOMA
(47.164325, -122.445663)"
HAZEL DELL ELEMENTARY SCHOOL,2016-17,Y,85,67.1%,2.4%,27.1%,3.5%,0%,3.5%,0%,0%,82.4%,82.4%,84.7%,74.1%,84.7%,81.2%,57,2,23,3,0,3,0,0,15,15,13,22,13,16,PUBLIC SCHOOL,VANCOUVER SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,K -5,1,0,"511 NE ANDERSON RD
VANCOUVER
(45.67268, -122.666071)"
EMERSON ELEMENTARY,2016-17,Y,93,97.8%,1.1%,0%,1.1%,0%,0%,1.1%,0%,98.9%,98.9%,98.9%,97.8%,98.9%,98.9%,91,1,0,1,0,0,1,0,1,1,1,2,1,1,PUBLIC SCHOOL,PASCO SCHOOL DISTRICT,FRANKLIN,EDUCATIONAL SERVICE DISTRICT 123,K-6,1,1,"1616 W OCTAVE ST
PASCO
(46.238391, -119.110212)"
ACME ELEMENTARY,2016-17,Y,23,87%,0%,4.3%,8.7%,0%,8.7%,0%,0%,87%,87%,87%,87%,91.3%,87%,20,0,1,2,0,2,0,0,3,3,3,3,2,3,PUBLIC SCHOOL,MOUNT BAKER SCHOOL DISTRICT,WHATCOM,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,K -6,1,1,"5200 TURKINGTON RD
ACME
(48.718315, -122.209719)"
EAST OLYMPIA ELEMENTARY,2016-17,Y,84,85.7%,1.2%,3.6%,9.5%,3.6%,6%,0%,0%,92.9%,92.9%,90.5%,95.2%,91.7%,89.3%,72,1,3,8,3,5,0,0,6,6,8,4,7,9,PUBLIC SCHOOL,TUMWATER SCHOOL DISTRICT,THURSTON,EDUCATIONAL SERVICE DISTRICT 113,K -6,1,1,"8700 RICH ROAD
OLYMPIA
(46.960668, -122.833801)"
FOOTHILLS MIDDLE SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,WENATCHEE SCHOOL DISTRICT,CHELAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,6-8,0,1,"1410 MAPLE ST
WENATCHEE
(47.442433, -120.336518)"
CARBONADO HISTORICAL SCHOOL 19,2016-17,Y,22,95.5%,0%,0%,4.5%,0%,4.5%,0%,0%,95.5%,95.5%,95.5%,95.5%,95.5%,95.5%,21,0,0,1,0,1,0,0,1,1,1,1,1,1,PUBLIC SCHOOL,CARBONADO SCHOOL DISTRICT,PIERCE,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K -8,1,1,"427 4TH ST
CARBONADO
(47.081057, -122.053407)"
GAISER MIDDLE SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,VANCOUVER SCHOOL DISTRICT,CLARK,EDUCATIONAL SERVICE DISTRICT 112,6-8,0,1,"3000 NE 99TH ST
VANCOUVER
(45.693206, -122.639792)"
BREWSTER ALTERNATIVE HIGH SCHOOL,2016-17,Y,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PUBLIC SCHOOL,BREWSTER SCHOOL DISTRICT,OKANOGAN,NORTH CENTRAL EDUCATIONAL SERVICE DISTRICT 171,9-12,0,0,"503 S 7TH ST
BREWSTER
(48.093855, -119.786827)"
FRANK LOVE ELEMENTARY,2016-17,Y,203,95.1%,0.5%,1.5%,3%,0%,3%,0%,0%,97.5%,97.5%,96.6%,97%,97%,97.5%,193,1,3,6,0,6,0,0,5,5,7,6,6,5,PUBLIC SCHOOL,NORTHSHORE SCHOOL DISTRICT,KING,PUGET SOUND EDUCATIONAL SERVICE DISTRICT 121,K-5,1,0,"303 224TH ST SW
BOTHELL
(47.795027, -122.236957)"
CEDAR WOOD ELEMENTARY,2016-17,Y,108,96.3%,0%,0.9%,2.8%,0.9%,1.9%,0%,0%,99.1%,100%,97.2%,98.1%,97.2%,98.1%,104,0,1,3,1,2,0,0,1,0,3,2,3,2,PUBLIC SCHOOL,EVERETT SCHOOL DISTRICT,SNOHOMISH,NORTHWEST EDUCATIONAL SERVICE DISTRICT 189,PK-5,1,0,"3414 168TH ST. SE
BOTHELL
(47.845383, -122.187663)"
EASTGATE ELEMENTARY SCHOOL,2016-17,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PUBLIC SCHOOL,KENNEWICK SCHOOL DISTRICT,BENTON,EDUCATIONAL SERVICE DISTRICT 123,PK-5,1,0,"910 EAST 10TH AVENUE
KENNEWICK
(46.198199, -119.102695)"
